num_trained_data,epoch,total_num_choosen_data,loss,acc
5270,10,527.0,0.544406533241272,0.8519924098671727
10540,20,527.0,0.3417728841304779,0.9639468690702088
15810,30,527.0,0.3273027241230011,0.9867172675521821
21080,40,527.0,0.32734960317611694,0.9905123339658444
26350,50,527.0,0.3301540017127991,0.9905123339658444
31760,60,1010.0,0.4378741979598999,0.8576709796672828
37170,70,1010.0,0.3812623918056488,0.9852125693160814
42580,80,1010.0,0.31862398982048035,0.9981515711645101
47990,90,1010.0,0.32431134581565857,0.9944547134935305
53400,100,1010.0,0.32170259952545166,1.0
57690,110,1351.0,0.449903279542923,0.8601398601398601
61980,120,1351.0,0.33713316917419434,0.9627039627039627
66270,130,1351.0,0.3196331560611725,0.9883449883449883
70560,140,1351.0,0.3197336494922638,0.9883449883449883
74850,150,1351.0,0.35389944911003113,0.9906759906759907
79760,160,1720.0,0.4507496654987335,0.8553971486761711
84670,170,1720.0,0.3534199595451355,0.9918533604887984
89580,180,1720.0,0.31872138381004333,0.9959266802443992
94490,190,1720.0,0.32022881507873535,0.9979633401221996
99400,200,1720.0,0.3191481828689575,0.9979633401221996
104160,210,2036.0,0.5265543460845947,0.8508403361344538
108920,220,2036.0,0.3442825973033905,0.9789915966386554
113680,230,2036.0,0.33673155307769775,0.9894957983193278
118440,240,2036.0,0.32251301407814026,0.9915966386554622
123200,250,2036.0,0.3316989541053772,0.9915966386554622
128110,260,2327.0,0.4309719502925873,0.8879837067209776
133020,270,2327.0,0.3432442247867584,0.9775967413441955
137930,280,2327.0,0.34465616941452026,0.9877800407331976
142840,290,2327.0,0.31855303049087524,0.9918533604887984
147750,300,2327.0,0.3203337788581848,0.9918533604887984
152540,310,2606.0,0.48912951350212097,0.8475991649269311
157330,320,2606.0,0.3381953537464142,0.9874739039665971
162120,330,2606.0,0.3206164538860321,0.9979123173277662
166910,340,2606.0,0.3199085295200348,0.9979123173277662
171700,350,2606.0,0.3346765339374542,0.9979123173277662
176870,360,2846.0,0.567339301109314,0.7678916827852998
182040,370,2846.0,0.4824560880661011,0.9439071566731141
187210,380,2846.0,0.38403624296188354,0.9729206963249516
192380,390,2846.0,0.44731375575065613,0.9729206963249516
197550,400,2846.0,0.3842927813529968,0.97678916827853
202640,410,3089.0,0.5496767163276672,0.6581532416502947
207730,420,3089.0,0.37082648277282715,0.8565815324165029
212820,430,3089.0,0.43243351578712463,0.9351669941060904
217910,440,3089.0,0.3862089514732361,0.9646365422396856
223000,450,3089.0,0.3885114789009094,0.9646365422396856
227900,460,3292.0,0.4993950426578522,0.8367346938775511
232800,470,3292.0,0.3503342866897583,0.9836734693877551
237700,480,3292.0,0.331525981426239,0.9918367346938776
242600,490,3292.0,0.32014015316963196,0.9959183673469387
247500,500,3292.0,0.3195866346359253,0.9959183673469387
252140,510,3460.0,0.3925587236881256,0.9137931034482759
256780,520,3460.0,0.35125935077667236,0.9762931034482759
261420,530,3460.0,0.33468693494796753,0.9892241379310345
266060,540,3460.0,0.31583112478256226,0.9935344827586207
270700,550,3460.0,0.3165585398674011,0.9870689655172413
275510,560,3621.0,0.437437504529953,0.896049896049896
280320,570,3621.0,0.3427475094795227,0.9584199584199584
285130,580,3621.0,0.3649674654006958,0.9771309771309772
289940,590,3621.0,0.3295218050479889,0.975051975051975
294750,600,3621.0,0.3452835977077484,0.9812889812889813
299110,610,3756.0,0.3853384554386139,0.8555045871559633
303470,620,3756.0,0.4037427604198456,0.944954128440367
307830,630,3756.0,0.37829574942588806,0.9587155963302753
312190,640,3756.0,0.3202652931213379,0.963302752293578
316550,650,3756.0,0.3777550756931305,0.9610091743119266
321390,660,3898.0,0.37404122948646545,0.9132231404958677
326230,670,3898.0,0.3172304928302765,0.9752066115702479
331070,680,3898.0,0.32646840810775757,0.9772727272727273
335910,690,3898.0,0.3438490629196167,0.981404958677686
340750,700,3898.0,0.340591698884964,0.981404958677686
345310,710,4017.0,0.4608513414859772,0.875
349870,720,4017.0,0.3510454297065735,0.9714912280701754
354430,730,4017.0,0.3528863489627838,0.9824561403508771
358990,740,4017.0,0.3203716576099396,0.9890350877192983
363550,750,4017.0,0.3336338996887207,0.9846491228070176
368930,760,4164.0,0.4992762506008148,0.8587360594795539
374310,770,4164.0,0.34530362486839294,0.9646840148698885
379690,780,4164.0,0.3732203245162964,0.9721189591078067
385070,790,4164.0,0.31862616539001465,0.9814126394052045
390450,800,4164.0,0.3428155183792114,0.9776951672862454
395900,810,4272.0,0.42246538400650024,0.8990825688073395
401350,820,4272.0,0.34965047240257263,0.9798165137614679
406800,830,4272.0,0.3592572510242462,0.981651376146789
412250,840,4272.0,0.3373600244522095,0.9889908256880734
417700,850,4272.0,0.3397519886493683,0.9853211009174312
423190,860,4382.0,0.35749000310897827,0.9234972677595629
428680,870,4382.0,0.32238227128982544,0.9799635701275046
434170,880,4382.0,0.3165378272533417,0.9872495446265938
439660,890,4382.0,0.3328520357608795,0.9908925318761385
445150,900,4382.0,0.31633907556533813,0.9908925318761385
450550,910,4462.0,0.48584073781967163,0.8425925925925926
455950,920,4462.0,0.33276528120040894,0.9648148148148148
461350,930,4462.0,0.343119353055954,0.9777777777777777
466750,940,4462.0,0.3321525454521179,0.9796296296296296
472150,950,4462.0,0.31953805685043335,0.9814814814814815
477430,960,4555.0,0.44704312086105347,0.8693181818181818
482710,970,4555.0,0.3794156014919281,0.9640151515151515
487990,980,4555.0,0.33713197708129883,0.9734848484848485
493270,990,4555.0,0.35640695691108704,0.9791666666666666
