num_trained_data,epoch,total_num_choosen_data,loss,acc
5580,10,558.0,0.44887232780456543,0.8799283154121864
11160,20,558.0,0.33687710762023926,0.989247311827957
16740,30,558.0,0.326262891292572,0.992831541218638
22320,40,558.0,0.31834661960601807,0.9982078853046595
27900,50,558.0,0.3216055929660797,1.0
32630,60,960.0,0.41831332445144653,0.8710359408033826
37360,70,960.0,0.36180219054222107,0.9788583509513742
42090,80,960.0,0.3354268968105316,0.9915433403805497
46820,90,960.0,0.32144296169281006,0.9957716701902748
51550,100,960.0,0.32142236828804016,0.9936575052854123
56750,110,1390.0,0.4621823728084564,0.8384615384615385
61950,120,1390.0,0.3711853325366974,0.9865384615384616
67150,130,1390.0,0.33072951436042786,0.9884615384615385
72350,140,1390.0,0.3254932761192322,0.9923076923076923
77550,150,1390.0,0.3197018802165985,0.9942307692307693
82760,160,1782.0,0.5010443329811096,0.7696737044145874
87970,170,1782.0,0.4061892330646515,0.946257197696737
93180,180,1782.0,0.3548191487789154,0.9750479846449136
98390,190,1782.0,0.40694522857666016,0.9769673704414588
103600,200,1782.0,0.3780498504638672,0.980806142034549
108470,210,2090.0,0.4259229302406311,0.9055441478439425
113340,220,2090.0,0.3364035189151764,0.9856262833675564
118210,230,2090.0,0.3212193548679352,0.9958932238193019
123080,240,2090.0,0.32057812809944153,0.997946611909651
127950,250,2090.0,0.3207019567489624,1.0
133390,260,2441.0,0.4406006932258606,0.8952205882352942
138830,270,2441.0,0.3248319625854492,0.9944852941176471
144270,280,2441.0,0.3189750015735626,0.9944852941176471
149710,290,2441.0,0.33638250827789307,0.9981617647058824
155150,300,2441.0,0.3184811472892761,1.0
159800,310,2694.0,0.45354852080345154,0.8559139784946237
164450,320,2694.0,0.375448614358902,0.9827956989247312
169100,330,2694.0,0.3534639775753021,0.989247311827957
173750,340,2694.0,0.33506137132644653,0.9913978494623656
178400,350,2694.0,0.31873124837875366,0.9978494623655914
183190,360,2925.0,0.4382573962211609,0.8580375782881002
187980,370,2925.0,0.34367993474006653,0.9707724425887265
192770,380,2925.0,0.3330875635147095,0.9916492693110647
197560,390,2925.0,0.3215913772583008,0.9937369519832986
202350,400,2925.0,0.3461124002933502,0.9916492693110647
207460,410,3140.0,0.41782963275909424,0.8454011741682974
212570,420,3140.0,0.41313478350639343,0.923679060665362
217680,430,3140.0,0.445558100938797,0.9726027397260274
222790,440,3140.0,0.4195292294025421,0.9784735812133072
227900,450,3140.0,0.4093083441257477,0.9823874755381604
232700,460,3339.0,0.48006337881088257,0.90625
237500,470,3339.0,0.3720795810222626,0.9770833333333333
242300,480,3339.0,0.3332552909851074,0.9833333333333333
247100,490,3339.0,0.32270267605781555,0.9833333333333333
251900,500,3339.0,0.3287893831729889,0.9854166666666667
257390,510,3543.0,0.3905481994152069,0.8797814207650273
262880,520,3543.0,0.39086535573005676,0.9744990892531876
268370,530,3543.0,0.31750714778900146,0.9854280510018215
273860,540,3543.0,0.3157883584499359,0.9908925318761385
279350,550,3543.0,0.3172829747200012,0.9890710382513661
284600,560,3716.0,0.454224169254303,0.8838095238095238
289850,570,3716.0,0.32675743103027344,0.9523809523809523
295100,580,3716.0,0.33705222606658936,0.9638095238095238
300350,590,3716.0,0.3680366277694702,0.9638095238095238
305600,600,3716.0,0.330758273601532,0.9657142857142857
311010,610,3881.0,0.4479459822177887,0.9297597042513863
316420,620,3881.0,0.3530081808567047,0.9722735674676525
321830,630,3881.0,0.34842318296432495,0.9741219963031423
327240,640,3881.0,0.3436983525753021,0.9796672828096118
332650,650,3881.0,0.31919923424720764,0.9870609981515711
338000,660,4007.0,0.4334748387336731,0.8504672897196262
343350,670,4007.0,0.3600853383541107,0.9570093457943926
348700,680,4007.0,0.3319647014141083,0.9700934579439252
354050,690,4007.0,0.35595235228538513,0.9757009345794393
359400,700,4007.0,0.3428867757320404,0.9719626168224299
364710,710,4132.0,0.43123337626457214,0.9133709981167608
370020,720,4132.0,0.3443429470062256,0.975517890772128
375330,730,4132.0,0.32509371638298035,0.9830508474576272
380640,740,4132.0,0.31583863496780396,0.9905838041431262
385950,750,4132.0,0.3522857427597046,0.9792843691148776
390520,760,4224.0,0.3951808214187622,0.9234135667396062
395090,770,4224.0,0.31797152757644653,0.975929978118162
399660,780,4224.0,0.3347838222980499,0.9803063457330415
404230,790,4224.0,0.3497786819934845,0.9824945295404814
408800,800,4224.0,0.34853488206863403,0.9824945295404814
413630,810,4333.0,0.4970839023590088,0.8592132505175983
418460,820,4333.0,0.35247841477394104,0.94824016563147
423290,830,4333.0,0.3373720645904541,0.968944099378882
428120,840,4333.0,0.3332853615283966,0.9710144927536232
432950,850,4333.0,0.3523271381855011,0.9648033126293996
437620,860,4426.0,0.4485820233821869,0.8907922912205567
442290,870,4426.0,0.33470529317855835,0.9635974304068522
446960,880,4426.0,0.3344076871871948,0.9721627408993576
451630,890,4426.0,0.34587356448173523,0.974304068522484
456300,900,4426.0,0.3600074350833893,0.9764453961456103
461110,910,4502.0,0.4124521315097809,0.9064449064449065
465920,920,4502.0,0.3510219156742096,0.9708939708939709
