episode,max fitness score,portion_of_none_noisy_selection,portion_of_noisy_reduction
0,0.11804201050262575,0.0,1.0
1,0.02738184546136535,0.0,1.0
2,0.01804201050262566,0.0,1.0
3,0.03267066766691673,0.0,1.0
4,0.02550637659414845,0.0,1.0
5,0.020630157539384908,0.0,1.0
6,0.02738184546136524,0.0,1.0
7,0.016091522880720244,0.0,1.0
8,0.010802700675168864,0.0,1.0
9,0.01466616654163544,0.0,1.0
10,0.01807951987996992,0.0,1.0
11,0.010502625656414133,0.0,1.0
12,0.02145536384096014,0.0,1.0
13,0.015641410352588037,0.0,1.0
14,0.010090022505626406,0.0,1.0
15,0.012265566391597815,0.0,1.0
16,0.010952738184546118,0.0,1.0
17,0.009864966241560302,0.0,1.0
18,0.0058514628657164725,0.0,1.0
19,0.013278319579895004,0.0,1.0
20,0.012828207051762908,0.0,1.0
21,0.01215303825956493,0.0,1.0
22,0.012603150787696915,0.0,1.0
23,0.008552138034508605,0.0,1.0
24,0.013278319579894893,0.0,1.0
25,0.011702925731432834,0.0,1.0
26,0.011477869467366841,0.0,1.0
27,0.008477119279819978,0.0,1.0
28,0.01147786946736673,0.0,1.0
29,0.015453863465866413,0.0,1.0
30,0.012265566391597926,0.0,1.0
31,0.012528132033008288,0.0,1.0
32,0.012528132033008288,0.0,1.0
33,0.008552138034508716,0.0,1.0
34,0.007464366091522789,0.0,1.0
35,0.005138784696174126,0.0,1.0
36,0.013878469617404243,0.0,1.0
37,0.008627156789197343,0.0,1.0
38,0.00933983495873969,0.0,1.0
39,0.011965491372843196,0.0,1.0
40,0.013840960240060096,0.0,1.0
41,0.007726931732933262,0.0,1.0
42,0.010127531882970664,0.0,1.0
43,0.010052513128282037,0.0,1.0
44,0.0029257314328582362,0.0,1.0
45,0.006414103525881454,0.0,1.0
46,0.018529632408102126,0.0,1.0
47,0.006301575393848569,0.0,1.0
48,0.005438859714928745,0.0,1.0
49,0.01466616654163544,0.0,1.0
50,0.005101275318829646,0.0,1.0
51,0.013278319579894782,0.0,1.0
52,0.005813953488372214,0.0,1.0
53,0.007576894223555897,0.0,1.0
54,0.005738934733683365,0.0,1.0
55,0.012265566391597926,0.0,1.0
56,0.008477119279819978,0.0,1.0
57,0.016354088522130383,0.0,1.0
58,0.006114028507126834,0.0,1.0
59,0.009152288072017956,0.0,1.0
60,0.00993998499624904,0.0,1.0
61,0.010690172543135756,0.0,1.0
62,0.0026631657914478746,0.0,1.0
63,0.01249062265566403,0.0,1.0
64,0.007801950487622,0.0,1.0
65,0.013540885221305365,0.0,1.0
66,0.0075018754688672695,0.0,1.0
67,0.008814703675918967,0.0,1.0
68,0.007014253563390693,0.0,1.0
69,0.008364591147786982,0.0,1.0
70,0.006076519129782465,0.0,1.0
71,0.011627906976744207,0.0,1.0
72,0.004613653413353402,0.0,1.0
73,0.006414103525881343,0.0,1.0
74,0.010540135033758391,0.0,1.0
75,0.0037884471117779484,0.0,1.0
76,0.0016879219804950552,0.0,1.0
77,0.009864966241560413,0.0,1.0
78,0.008214553638409616,0.0,1.0
79,0.009714928732183048,0.0,1.0
80,0.00532633158289586,0.0,1.0
81,0.011552888222055469,0.0,1.0
82,0.003938484621155203,0.0,1.0
83,0.013953488372092981,0.0,1.0
84,0.005176294073518384,0.0,1.0
85,0.013015753938484642,0.0,1.0
86,0.009789947486871786,0.0,1.0
87,0.0054763690922731145,0.0,1.0
88,0.013278319579894893,0.0,1.0
89,0.01027756939234803,0.0,1.0
90,0.019842460615153823,0.0,1.0
91,0.007276819204801055,0.0,1.0
92,0.007314328582145424,0.0,1.0
93,0.011327831957989365,0.0,1.0
94,0.010540135033758391,0.0,1.0
95,0.006564141035258708,0.0,1.0
96,0.005551387846961742,0.0,1.0
