num_trained_data,epoch,total_num_choosen_data,loss,acc
4600,10,460.0,0.4991200566291809,0.8652173913043478
9200,20,460.0,0.36688101291656494,0.9695652173913043
13800,30,460.0,0.3218561112880707,0.9760869565217392
18400,40,460.0,0.32410985231399536,0.9891304347826086
23000,50,460.0,0.3310914635658264,0.9869565217391304
27910,60,918.0,0.48299068212509155,0.8228105906313645
32820,70,918.0,0.3311426639556885,0.9653767820773931
37730,80,918.0,0.33520978689193726,0.9898167006109979
42640,90,918.0,0.3325372636318207,0.9938900203665988
47550,100,918.0,0.34282517433166504,0.9898167006109979
52740,110,1358.0,0.625156581401825,0.8323699421965318
57930,120,1358.0,0.3758152723312378,0.9653179190751445
63120,130,1358.0,0.37045660614967346,0.976878612716763
68310,140,1358.0,0.3463990390300751,0.976878612716763
73500,150,1358.0,0.3355431854724884,0.9788053949903661
78120,160,1694.0,0.47606971859931946,0.8852813852813853
82740,170,1694.0,0.33988136053085327,0.9783549783549783
87360,180,1694.0,0.3212045729160309,0.9956709956709957
91980,190,1694.0,0.3229382336139679,0.9956709956709957
96600,200,1694.0,0.33426952362060547,0.9956709956709957
101360,210,2002.0,0.4571267068386078,0.8529411764705882
106120,220,2002.0,0.37327107787132263,0.9726890756302521
110880,230,2002.0,0.3495887219905853,0.9831932773109243
115640,240,2002.0,0.3251834809780121,0.9894957983193278
120400,250,2002.0,0.32139843702316284,0.9936974789915967
125360,260,2308.0,0.42036494612693787,0.8911290322580645
130320,270,2308.0,0.3485817015171051,0.9858870967741935
135280,280,2308.0,0.3190147280693054,0.9899193548387096
140240,290,2308.0,0.3207862079143524,0.9959677419354839
145200,300,2308.0,0.3216739594936371,0.9959677419354839
150300,310,2625.0,0.7449185848236084,0.7058823529411765
155400,320,2625.0,0.5591958165168762,0.8666666666666667
160500,330,2625.0,0.4016109108924866,0.9352941176470588
165600,340,2625.0,0.3908803164958954,0.9509803921568627
170700,350,2625.0,0.34607797861099243,0.9607843137254902
175630,360,2873.0,0.4671095609664917,0.847870182555781
180560,370,2873.0,0.36556175351142883,0.973630831643002
185490,380,2873.0,0.33202436566352844,0.9776876267748479
190420,390,2873.0,0.3605624735355377,0.9817444219066938
195350,400,2873.0,0.3341067135334015,0.9858012170385395
200310,410,3103.0,0.46956124901771545,0.8608870967741935
205270,420,3103.0,0.32953816652297974,0.9858870967741935
210230,430,3103.0,0.3201581537723541,0.9899193548387096
215190,440,3103.0,0.3202691674232483,0.9919354838709677
220150,450,3103.0,0.3416725695133209,0.9919354838709677
